thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
94,0,94,[np.float64(-0.2101851851851852)],[np.float64(0.2833333333333333)],[1],[0],[0],[1.9618603000417352],['target'],94,0,94,0,183.0672231002245,,10,183.0556803001091,183.0672231002245,183.0672231002245,0.02147600008174777,185.01764550013468,[np.float64(-0.2101851851851852)],[np.float64(0.2833333333333333)],[1],[0],[0],[1.9618603000417352],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
95,0,95,[np.float64(0.09259259259259259)],[np.float64(0.40185185185185185)],[1],[0],[0],[2.1007175999693573],['target'],95,0,95,0,185.04039940005168,,5,185.03416690020822,185.04039940005168,185.04039940005168,0.016220200108364224,187.1349255000241,[np.float64(0.09259259259259259)],[np.float64(0.40185185185185185)],[1],[0],[0],[2.1007175999693573],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
96,0,96,[np.float64(-0.3962962962962963)],[np.float64(0.5)],[1],[0],[0],[2.2911040999460965],['target'],96,0,96,0,187.1496549001895,,5,187.1440102001652,187.1496549001895,187.1496549001895,0.008994899922981858,189.43526480020955,[np.float64(-0.3962962962962963)],[np.float64(0.5)],[1],[0],[0],[2.2911040999460965],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
97,0,97,[np.float64(-0.45185185185185184)],[np.float64(0.37037037037037035)],[1],[0],[0],[1.655981499934569],['target'],97,0,97,0,189.5079287001863,,10,189.49446730013005,189.5079287001863,189.5079287001863,0.058840100187808275,191.15049920021556,[np.float64(-0.45185185185185184)],[np.float64(0.37037037037037035)],[1],[0],[0],[1.655981499934569],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
98,0,98,[np.float64(0.26666666666666666)],[np.float64(0.09444444444444444)],[1],[0],[0],[1.5958901999983937],['target'],98,0,98,0,191.18254450010136,,5,191.17194890021347,191.18254450010136,191.18254450010136,0.0213555998634547,192.76792780007236,[np.float64(0.26666666666666666)],[np.float64(0.09444444444444444)],[1],[0],[0],[1.5958901999983937],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
99,0,99,[np.float64(-0.2675925925925926)],[np.float64(0.14814814814814814)],[1],[0],[0],[1.592281499877572],['target'],99,0,99,0,192.8026123000309,,10,192.79299420001917,192.8026123000309,192.8026123000309,0.024834000039845705,194.38542480021715,[np.float64(-0.2675925925925926)],[np.float64(0.14814814814814814)],[1],[0],[0],[1.592281499877572],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
100,0,100,[np.float64(-0.05)],[np.float64(0.0)],[1],[0],[0],[1.1091934000141919],['target'],100,0,100,0,194.42416750011034,,5,194.41262960014865,194.42416750011034,194.42416750011034,0.02683599991723895,195.5219049002044,[np.float64(-0.05)],[np.float64(0.0)],[1],[0],[0],[1.1091934000141919],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
101,0,101,[np.float64(-0.4648148148148148)],[np.float64(0.49907407407407406)],[1],[0],[0],[1.7625534001272172],['target'],101,0,101,0,195.5687524001114,,10,195.55484960018657,195.5687524001114,195.5687524001114,0.032805300084874034,197.31745560001582,[np.float64(-0.4648148148148148)],[np.float64(0.49907407407407406)],[1],[0],[0],[1.7625534001272172],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
102,0,102,[np.float64(0.49074074074074076)],[np.float64(-0.18425925925925926)],[1],[0],[0],[1.7536465001758188],['target'],102,0,102,0,197.35665960004553,,10,197.3473608000204,197.35665960004553,197.35665960004553,0.02976229996420443,199.10108040017076,[np.float64(0.49074074074074076)],[np.float64(-0.18425925925925926)],[1],[0],[0],[1.7536465001758188],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
103,0,103,[np.float64(-0.4111111111111111)],[np.float64(-0.044444444444444446)],[1],[0],[0],[1.6259083999320865],['target'],103,0,103,0,199.13444760022685,,10,199.1248120001983,199.13444760022685,199.13444760022685,0.023548400029540062,200.75077920011245,[np.float64(-0.4111111111111111)],[np.float64(-0.044444444444444446)],[1],[0],[0],[1.6259083999320865],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
