stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
39,0.5,15.0,52.46996429999126,,52.45400059997337,52.46996429999126,52.95307289995253,52.95307289995253,52.96957769995788,,52.96994449995691,right,15.0,1,1,0.0026985000004060566,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
40,0.5,15.0,52.98640699998941,,52.97010119998595,52.98640699998941,53.47129779995885,53.47129779995885,53.4868985999492,53.78649339999538,53.9863720999565,right,15.0,1,1,0.5087471999577247,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
41,0.5,15.0,54.003778099955525,,53.98650489997817,54.003778099955525,54.48688199999742,54.48688199999742,54.503590299980715,54.786575599981006,55.036420699965674,right,15.0,1,1,0.5466115000308491,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
42,0.5,14.5,55.05419529997744,,55.03659869998228,55.05419529997744,55.53668849996757,55.53668849996757,55.553355899988674,,55.57033179997234,left,-14.5,0,0,0.028742399998009205,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
43,0.5,15.0,55.586688499955926,,55.57054369995603,55.586688499955926,56.0697507999721,56.0697507999721,56.08687169995392,56.3700401999522,56.80424619995756,left,-15.0,0,0,0.7187547000357881,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
44,0.5,15.5,56.820511500001885,,56.80443209997611,56.820511500001885,57.30297629995039,57.30297629995039,57.320026899978984,57.603243899997324,57.75502519996371,left,-15.5,0,0,0.45022870000684634,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
45,0.5,16.0,57.769778699963354,,57.75525769998785,57.769778699963354,58.2698649999802,58.2698649999802,58.2698649999802,,58.353306100005284,left,-16.0,0,0,0.07485299999825656,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
46,0.5,16.5,58.36963209998794,,58.353468299959786,58.36963209998794,58.85318549996009,58.85318549996009,58.87034279998625,,58.88691929995548,left,-16.5,1,1,0.019442099961452186,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
47,0.5,16.5,58.90348439995432,,58.88709429994924,58.90348439995432,59.38677749998169,59.38677749998169,59.40350189997116,,59.48727969999891,left,-16.5,1,1,0.08842210000148043,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
48,0.5,16.5,59.50310869998066,,59.48740619997261,59.50310869998066,59.98652079998283,59.98652079998283,60.00418369995896,60.28678889997536,60.58793069998501,right,16.5,0,0,0.5871696000103839,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
